network,tx_hash,timestamp,source_account,contract_name,contract_id,function_name,op_type,status
Mainnet,4b0fc99010b6e7ee0441807a7c11c5622633fa541c68b6528766daa5b6f5f2d3,2026-07-10T22:53:57Z,GCK5L4DAV67YSSYKFWRCELY2BDODO5UURWD42QM7HR4ORQWSORMS3JHE,Governance & Compliance,CBL5WKK2WQ4XGGN25DW3OP2LIGI5GUDLBXNQ76ZLFQLU3RRBBAPGQTLU,set_issuer,invoke_host_function,SUCCESS
Mainnet,33cc2c8be5a67ac6c2186e6d560821027f690a7de2d2677764e074ac6eb789cc,2026-07-10T22:52:15Z,GCK5L4DAV67YSSYKFWRCELY2BDODO5UURWD42QM7HR4ORQWSORMS3JHE,Core Pool,CCGIBZCTJQV5ENURT6YKGZ34VVGELBR2O2NUCZED2DDMV4T7FWMJMFKK,create_market,invoke_host_function,SUCCESS
Mainnet,2412b951ea7fab5c030e8659e3676a8f6e0577910ebb5a43e11ed12cfdbe12d1,2026-07-10T22:28:39Z,GCK5L4DAV67YSSYKFWRCELY2BDODO5UURWD42QM7HR4ORQWSORMS3JHE,ERGO Protocol Token,CDILV5HTHZGWQYRL6TJP3MUTSCRXXQSAUHBMASXPZVC2BS4I3QUE5IDQ,mint,invoke_host_function,SUCCESS
Mainnet,5a16e4d6b121fb2a77530c4258d44193431cc44d12421ceecd3df11f28efe4de,2026-07-10T21:32:44Z,GCK5L4DAV67YSSYKFWRCELY2BDODO5UURWD42QM7HR4ORQWSORMS3JHE,Core Pool,CCGIBZCTJQV5ENURT6YKGZ34VVGELBR2O2NUCZED2DDMV4T7FWMJMFKK,set_dependency,invoke_host_function,SUCCESS
Mainnet,386dbee0ac431738a1638c499f90a926bcffa6827b62b80b4e88bec322e845b6,2026-07-10T21:32:38Z,GCK5L4DAV67YSSYKFWRCELY2BDODO5UURWD42QM7HR4ORQWSORMS3JHE,Backstop Pool,CBHFJXAP7EZUGCK4NNVT57JMW3KHBHXYFEAPCIT7UBHIAZJ2S5O24LEY,initialize,invoke_host_function,SUCCESS
Mainnet,3e8d566e24ae6496dab6eef9394aba4bc11d73c38c97721b58e991cc3b814d52,2026-07-10T21:32:26Z,GCK5L4DAV67YSSYKFWRCELY2BDODO5UURWD42QM7HR4ORQWSORMS3JHE,Protocol Deployment & Infrastructure,N/A,invoke_host_function,invoke_host_function,SUCCESS
Mainnet,264b24feea5a2868083aa1c72b82e32da6d65e169a9ae9d28ed5d289df1b302e,2026-07-10T21:32:20Z,GCK5L4DAV67YSSYKFWRCELY2BDODO5UURWD42QM7HR4ORQWSORMS3JHE,Protocol Deployment & Infrastructure,N/A,invoke_host_function,invoke_host_function,SUCCESS
Mainnet,a19200a2bce545eef0bae7300c8c4ac70919839fb8132cef4643ccd327a9f238,2026-07-10T21:26:23Z,GCK5L4DAV67YSSYKFWRCELY2BDODO5UURWD42QM7HR4ORQWSORMS3JHE,Governance & Compliance,CBL5WKK2WQ4XGGN25DW3OP2LIGI5GUDLBXNQ76ZLFQLU3RRBBAPGQTLU,set_issuer,invoke_host_function,SUCCESS
Mainnet,0e47ad5c24f0345877720674dceb2912fc2f7df5cd46090aada6d63240d8ebee,2026-07-10T21:26:17Z,GCK5L4DAV67YSSYKFWRCELY2BDODO5UURWD42QM7HR4ORQWSORMS3JHE,Governance & Compliance,CBL5WKK2WQ4XGGN25DW3OP2LIGI5GUDLBXNQ76ZLFQLU3RRBBAPGQTLU,set_issuer,invoke_host_function,SUCCESS
Mainnet,3d48d89d6ab682557eac764e9bf8ef560aa0cb70eacd045a8a45c49e4b7f3c08,2026-07-10T21:26:05Z,GCK5L4DAV67YSSYKFWRCELY2BDODO5UURWD42QM7HR4ORQWSORMS3JHE,Governance & Compliance,CBL5WKK2WQ4XGGN25DW3OP2LIGI5GUDLBXNQ76ZLFQLU3RRBBAPGQTLU,set_issuer,invoke_host_function,SUCCESS
Mainnet,fa2b2998462fe101b0334ae74c5ec815e7f4c518f1d0014478e3f9f130794d40,2026-07-10T21:25:54Z,GCK5L4DAV67YSSYKFWRCELY2BDODO5UURWD42QM7HR4ORQWSORMS3JHE,Governance & Compliance,CBL5WKK2WQ4XGGN25DW3OP2LIGI5GUDLBXNQ76ZLFQLU3RRBBAPGQTLU,set_issuer,invoke_host_function,SUCCESS
Mainnet,458571dbef7145f930f6ab383e76b8d1a1b95c3cc69a7579d760dd6ae46d6244,2026-07-10T17:57:05Z,GAFKEZCKRSFF4PE46HKR4SOPEBCFCUOL5EU3ESZFLQKEB3UDIM6ZHUNM,Protocol Deployment & Infrastructure,N/A,payment,payment,SUCCESS
Mainnet,95005ec2b1d98c53b0613ed372bcb25e5625a62725ab103e054779e2e1537fe0,2026-07-10T17:33:31Z,GCK5L4DAV67YSSYKFWRCELY2BDODO5UURWD42QM7HR4ORQWSORMS3JHE,Core Pool,CCGIBZCTJQV5ENURT6YKGZ34VVGELBR2O2NUCZED2DDMV4T7FWMJMFKK,create_market,invoke_host_function,SUCCESS
